"responses","name","bilingual"
"elephant","aha",FALSE
"emu","aha",FALSE
"pig","aha",FALSE
"duck","aha",FALSE
"frog","aha",FALSE
"chicken","aha",FALSE
"bull","aha",FALSE
"cow","aha",FALSE
"sheep","aha",FALSE
"eagle","aha",FALSE
"horse","aha",FALSE
"gnu","aha",FALSE
"alligator","amanda",FALSE
"bear","amanda",FALSE
"barracuda","amanda",FALSE
"emu","amanda",FALSE
"beareded dragon","amanda",FALSE
"fish","amanda",FALSE
"bass","amanda",FALSE
"coelacanth","amanda",FALSE
"grizzly","amanda",FALSE
"flamingo","amanda",FALSE
"buzzard","amanda",FALSE
"cow","Ash",TRUE
"pig","Ash",TRUE
"sheep","Ash",TRUE
"salmon","Ash",TRUE
"trout","Ash",TRUE
"herring","Ash",TRUE
"whitebait","Ash",TRUE
"tuna","Ash",TRUE
"sunfish","Ash",TRUE
"clownfish","Ash",TRUE
"flatfish","Ash",TRUE
"boar","Casey",FALSE
"pig","Casey",FALSE
"duck","Casey",FALSE
"goose","Casey",FALSE
"platypus","Casey",FALSE
"heron","Casey",FALSE
"nightingale","Casey",FALSE
"cow","Casey",FALSE
"chicken","Casey",FALSE
"sheep","Casey",FALSE
"cat","Else",TRUE
"dog","Else",TRUE
"horse","Else",TRUE
"pig","Else",TRUE
"cow","Else",TRUE
"bird","Else",TRUE
"swan","Else",TRUE
"duck","Else",TRUE
"dog","Francie",FALSE
"cat","Francie",FALSE
"snake","Francie",FALSE
"fish","Francie",FALSE
"monkey","Francie",FALSE
"jellyfish","Francie",FALSE
"chicken","Francie",FALSE
"frog","Francie",FALSE
"rabbit","Francie",FALSE
"worm","Francie",FALSE
"cat","GL",FALSE
"dog","GL",FALSE
"pig","GL",FALSE
"cow","GL",FALSE
"sheep","GL",FALSE
"goat","GL",FALSE
"duck","GL",FALSE
"goose","GL",FALSE
"puffin","GL",FALSE
"penguin","GL",FALSE
"heron","GL",FALSE
"hen harrier","GL",FALSE
"ostrich","GL",FALSE
"emu","GL",FALSE
"blue tit","GL",FALSE
"dog","Maria",FALSE
"cat","Maria",FALSE
"rabbit","Maria",FALSE
"fox","Maria",FALSE
"monkey","Maria",FALSE
"wolf","Maria",FALSE
"bear","Maria",FALSE
"butterfly","Maria",FALSE
"zebra","Maria",FALSE
"lion","Maria",FALSE
"hippo","Maria",FALSE
"deer","Maria",FALSE
"mouse","Maria",FALSE
"rat","Maria",FALSE
"snake","Maria",FALSE
"gorilla","Maria",FALSE
"chipanzee","Maria",FALSE
"donkey","Maria",FALSE
"fish","Mark",TRUE
"bear","Mark",TRUE
"dog","Mark",TRUE
"cat","Mark",TRUE
"bird","Mark",TRUE
"horse","Mark",TRUE
"cow","Mark",TRUE
"snake","Mark",TRUE
"frog","Mark",TRUE
"dog","pimmostert",TRUE
"cat","pimmostert",TRUE
"horse","pimmostert",TRUE
"cow","pimmostert",TRUE
"sea-cucumber","pimmostert",TRUE
"fish","pimmostert",TRUE
"salamander","pimmostert",TRUE
"snake","pimmostert",TRUE
"spider","pimmostert",TRUE
"mouse","pimmostert",TRUE
"rat","pimmostert",TRUE
"guinea pig","pimmostert",TRUE
"rattlesnake","pimmostert",TRUE
"bee","pimmostert",TRUE
"wasp","pimmostert",TRUE
"fly","pimmostert",TRUE
"mosquito","pimmostert",TRUE
"moth","pimmostert",TRUE
"whale","pimmostert",TRUE
"dolphin","pimmostert",TRUE
"bear","Renske",TRUE
"elephant","Renske",TRUE
"cow","Renske",TRUE
"goat","Renske",TRUE
"pig","Renske",TRUE
"snake","Renske",TRUE
"monkey","Renske",TRUE
"gorilla","Renske",TRUE
"beetle","Renske",TRUE
"bunny","Renske",TRUE
"hamster","Renske",TRUE
"mosquito","Renske",TRUE
"snake","Sara",TRUE
"elephant","Sara",TRUE
"bear","Sara",TRUE
"tiger","Sara",TRUE
"lion","Sara",TRUE
"ant","Sara",TRUE
"fish","Sara",TRUE
"fly","Sara",TRUE
"bee","Sara",TRUE
"unicorn","SeanR",TRUE
"phoenix","SeanR",TRUE
"mermaid","SeanR",TRUE
"harpie","SeanR",TRUE
"basilisk","SeanR",TRUE
"centaur","SeanR",TRUE
"goblin","SeanR",TRUE
"griffin","SeanR",TRUE
"manticore","SeanR",TRUE
"giraffe","shiri",FALSE
"elephant","shiri",FALSE
"cat","shiri",FALSE
"dog","shiri",FALSE
"lion","shiri",FALSE
"tiger","shiri",FALSE
"zebra","shiri",FALSE
"horse","shiri",FALSE
"donkey","shiri",FALSE
"sheep","shiri",FALSE
"goat","shiri",FALSE
"fish","shiri",FALSE
"bird","shiri",FALSE
"snake","shiri",FALSE
"fly","shiri",FALSE
"mosquito","shiri",FALSE
"frog","shiri",FALSE
"bull","shiri",FALSE
"cow","shiri",FALSE
"whale","shiri",FALSE
"octopus","shiri",FALSE
"llama","shiri",FALSE
"deer","shiri",FALSE
"stag","shiri",FALSE
"bear","Suzanne",TRUE
"mouse","Suzanne",TRUE
"guinea pig","Suzanne",TRUE
"cat","Suzanne",TRUE
"dog","Suzanne",TRUE
"goat","Suzanne",TRUE
"sheep","Suzanne",TRUE
"cow","Suzanne",TRUE
"rat","Suzanne",TRUE
"snake","Suzanne",TRUE
"fly ","Suzanne",TRUE
"cat","VinMac",FALSE
"dog","VinMac",FALSE
"horse","VinMac",FALSE
"chicken","VinMac",FALSE
"crocoodile","VinMac",FALSE
"hyp","VinMac",FALSE
"hyena","VinMac",FALSE
"giraffe","VinMac",FALSE
"elephabt","VinMac",FALSE
"bat","VinMac",FALSE
"duck","VinMac",FALSE
"goose","VinMac",FALSE
